python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-60, 61.06
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-30, 32.59
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-130, 35.55
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-40, 34.42
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-80, 32.41
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-20, 30.72
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-50, 36.76
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-600, 237.74
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-1000, 50.90
python /home/giulio/dev/research/ropfuscator/evaluation/tigress/scripts/solve_tigress_chall.py /home/giulio/dev/research/llvm-10.0.1.src/build/bin/vanilla-tigsam-170, 38.92
